cascade_id,video_url,label,event_title,french,spanish,russian,arabic
f0,https://www.youtube.com/watch?v=Y7MJlmbnLQA,fake,Woman falls in volcano lava,femme tombe dans la lave du volcan,Mujer cae en la lava del volcán,женщина падает в вулкан лавы,امرأة تقع في الحمم بركان
f1,https://www.youtube.com/watch?v=AEPvSo8bE2I,fake,Table cloth magic trick,linge de table de tour de magie,el cuadro de tela truco de magia,Скатерть магический трюк,الجدول القماش خدعة سحرية
f2,https://www.youtube.com/watch?v=emNPHuWnXGU,fake,Flaming tire rip woman's arm off,flamboyante bras de femme déchirure des pneus hors,flamante brazo de la mujer rip neumáticos fuera,пламенная рука шина Rip женщины от,المشتعلة ذراع امرأة مزق الاطارات قبالة
f3,https://www.youtube.com/watch?v=XiASPGAWYXE,fake,Man saves child from train,l'homme sauve l'enfant du train,hombre salva niño de tren,человек спасает ребенка от поезда,رجل ينقذ الطفل من القطار
f4,https://www.youtube.com/watch?v=CXOU10WBogs,fake,Backflip and almost hit by car,backflip et presque frappé en voiture,voltereta hacia atrás y casi atropellado por un coche,Backflip и почти ударил по машине,BACKFLIP وضرب تقريبا بالسيارة
f5,https://www.youtube.com/watch?v=ZoHAf7VtIhA,fake,porn star attacked by shark underwater photoshoot,star du porno attaqué par le requin photoshoot sous-marine,la estrella porno atacado por tiburón de fotos bajo el agua,порнозвезда нападению акулы подводной фотоохоты,نجمة أفلام إباحية هاجمت سمكة قرش التقطت الصور تحت الماء
f6,https://www.youtube.com/watch?v=IPoJtt3X5SA,fake,put knife in toaster,mettre un couteau dans un grille-pain,poner el cuchillo en la tostadora,положить нож в тостер,وضع سكين في محمصة
f7,https://www.youtube.com/watch?v=RXF5yZZe8nQ,fake,American airline plane catches fire on runway,avion aérienne américaine prend feu sur la piste,americano avión avión se incendia en la pista,Американский самолет авиакомпании загорелся на взлетно-посадочной полосе,أمريكية طائرة طيران يمسك النار على المدرج
f8,https://www.youtube.com/watch?v=fSbssO2DR7A,fake,One wing plane landing,une aile plane atterrissage,un ala de avión de aterrizaje,один крыло посадки самолета,جناح واحد هبوط الطائرة
f9,https://www.youtube.com/watch?v=PtWNknwUCE8,fake,Reporter hit by stop sign during live tv,journaliste frappé par panneau d'arrêt pendant la télévision en direct,reportero golpeado por señal de stop en la televisión en directo,репортер попал знак остановки во время живого телевидения,مراسل ضرب من قبل التوقيع على وقف خلال بث تلفزيوني مباشر
f10,https://www.youtube.com/watch?v=2YTntpldkhw,fake,kid with potato as heart gets trucked,enfant avec la pomme de terre que le cœur s'acheminé par camion,niño con patata como en camiones corazón se,ребенок с картофелем,как сердце получает на грузовиках,طفل مع البطاطس والقلب يحصل بالشاحنات
f11,https://www.youtube.com/watch?v=0NVUSOm8Mps,fake,wrath of an inflatable raft,colère d'un radeau pneumatique,ira de una balsa inflable,гнев надувного плота,غضب زورق مطاطي
f12,https://www.youtube.com/watch?v=71KJUxhw2W0,fake,Girl gets hit by car after a prank and dies,fille est frappé en voiture après un tour et meurt,chica recibe un golpe en coche después de una travesura y muere,девочка получает удар на машине после того,как шалость и умирает,يحصل ضرب فتاة بالسيارة بعد مزحة وفاة
f13,https://www.youtube.com/watch?v=F4jjR4vkwkM,fake,Ski Trick Fail,trick ski échouent,truco de esquí fallan,лыжный трюк провал,خدعة التزلج تفشل
f14,https://www.youtube.com/watch?v=jGuDpD-Y-1s,fake,girl falls through window,fille tombe par la fenêtre,chica cae a través de la ventana,девушка падает через окно,فتاة تقع من خلال نافذة
f15,https://www.youtube.com/watch?v=GEPcxs5IIJI,fake,Stormtrooper Falls Down Stairs On The Way To Star Wars Premiere,Stormtrooper tombe dans les escaliers sur le chemin de star wars première,soldado de asalto cae por las escaleras en el camino a la premier de Star Wars,Штурмовик падает вниз по лестнице на пути к Star Wars премьеры,STORMTROOPER يقع أسفل الدرج في طريقها إلى حرب النجوم العرض
f16,https://www.youtube.com/watch?v=cPoqndR5urM,fake,CAT 5 Hurricane Irma destroys St. John's,Antigua,cat 5 IRMA ouragan détruit st. john,antigua,cat 5 irma huracán destruye st. ,Antigua de john,кот 5 ураган Ирма разрушает ул. Тёркс,القط 5 إعصار إيرما يدمر الحادي والعشرين. جونز، أنتيغوا
f17,https://www.youtube.com/watch?v=HNXLDToqDk4,fake,Tornado IRMA at Florida,tornade irma à la Floride,irma tornado en Florida,Торнадо Ирма в штате Флорида,إيرما اعصار في ولاية فلوريدا
f18,https://www.youtube.com/watch?v=TX4uJ3LChK0,fake,Hurricane Irma on ships,irma des ouragans sur les navires,irma de huracanes en los barcos,Ураган Ирма на судах,إيرما الإعصار على السفن
f19,https://www.youtube.com/watch?v=qjLZodAG_Is,fake,Cyclone Ockhi Kerala Tamilnadu,cyclone ockhi Kérala Tamilnadu,ciclón ockhi kerala tamilnadu,циклон ockhi керала Tamilnadu,الإعصار ockhi ولاية كيرالا تاميل نادو
f20,https://www.youtube.com/watch?v=ECJahgUyQP8,fake,Hurricane Irma hits Miami Airport,IRMA ouragan frappe l'aéroport de Miami,irma huracán golpea aeropuerto de Miami,ураган Ирма хитов аэропорта майами,إعصار يضرب إيرما مطار ميامي
f21,https://www.youtube.com/watch?v=alOHdzIrp7o,fake,National Geographic Channel Hurricane video,canal géographique national des ouragans vidéo,de vídeo del canal nacional de huracanes geográfica,национальный географический канал ураганный видео,ناشيونال جيوغرافيك قناة الفيديو الإعصار
f22,https://www.youtube.com/watch?v=Uv6BOh78Xwc,fake,Lightning Hitting River,la foudre frappant la rivière,rayo golpeando río,молния удара река,البرق يضرب النهر
f23,https://www.youtube.com/watch?v=IjsuccU0dQE,fake,Tornado in Cape Town,South Africa,tornade dans la ville du Cap,Afrique du Sud,tornado en Ciudad del Cabo,Sudáfrica,Торнадо в Кейптауне,Южная Африка,اعصار في كيب تاون، جنوب أفريقيا
f24,https://www.youtube.com/watch?v=LRqzkKhSN0U,fake,Rain Falling on one spot in Ghana,pluie tombant sur une place dans ghana,lluvia que cae en un punto en Ghana,дождь,падающий на одном месте в Гане,الأمطار تسقط على بقعة واحدة في غانا
f25,https://www.youtube.com/watch?v=61n51C7mcRI,fake,Volcano erupts as scientist takes selfie,volcan entre en éruption en tant que scientifique prend selfie,volcán entra en erupción como el científico toma autofotos,Вулкан извергается,как ученый берет селфи,بركان يثور كما يأخذ عالم الصور الشخصية لل
f26,https://www.youtube.com/watch?v=JHOBhgjc1Jc,fake,Lightning almost strikes girl in Sydney,la foudre frappe presque fille à sydney,relámpago casi golpea a chica en Sydney,молния почти ударяет девушку в Сиднее,البرق يضرب تقريبا فتاة في سيدني
f27,https://www.youtube.com/watch?v=d8qosgZXJ9w,fake,Iceberg in Camps Bay,Cape Town,iceberg dans la baie des camps,cape town,iceberg en la bahía de Camps,Ciudad del Cabo,айсберг в Camps Bay,кейптаун,فيض في مخيمات خليج، كيب تاون
f28,https://www.youtube.com/watch?v=waPcIe77lYc,fake,Crab Invasion After Hurricane Irma in Florida,invasion de crabe après irma des ouragans en Floride,la invasión de cangrejo después de irma huracán en Florida,краб вторжение после урагана Ирмы в штате Флорида,غزو ​​سرطان البحر بعد إيرما الإعصار في ولاية فلوريدا
f29,https://www.youtube.com/watch?v=hU-BOiswXvc,fake,Brussels Terrorist Attack,attaque terroriste brussels,ataque terrorista bruselas,брюссельская теракт,هجوم إرهابي بروكسل
f30,https://www.youtube.com/watch?v=xPlaugjS7dg,fake,Egypt mosque attack in Sinai,egypte attaque mosquée sinaï,ataque contra la mezquita de Egipto en el Sinaí,египет мечеть атака на Синае,الهجوم على المسجد مصر في سيناء
f31,https://www.youtube.com/watch?v=we7ms2crTzQ,fake,VW Polo Terrorist Commercial,vw polo commerciale terroriste,vw polo comercial terrorista,VW Polo террорист коммерческий,فولكس فاجن بولو التجارية إرهابي
f32,https://www.youtube.com/watch?v=EkcR8G7x5CU,fake,suicide bomber on skateboard,kamikaze sur planche à roulettes,suicida en el patín,Террорист-смертник на скейтборде,هجوم انتحاري على لوح التزلج
f33,https://www.youtube.com/watch?v=VtZZghMpC_I,fake,American Sniper fake remix,sniper américain faux remix,francotirador estadounidense remezcla falsa,Американский снайпер поддельные ремикс,قناص أمريكي ريمكس وهمية
f34,https://www.youtube.com/watch?v=JZUmDyeynGY,fake,BOY SAVES GIRL IN SYRIA,garçon sauve fille dans la syrie,chico salva chica en Siria,Мальчик спасает девушку в сирии,صبي ينقذ فتاة في سوريا
f35,https://www.youtube.com/watch?v=rm-xltoIVi8,fake,Ghost Attack,attaque fantôme,ataque fantasma,призрак нападение,هجوم الأشباح
f36,https://www.youtube.com/watch?v=PpWebxw_Zho,fake,Ghost caught on camera,fantôme pris à la caméra,fantasma captado por la cámara,призрак поймали на камеру,اشتعلت شبح على الكاميرا
f37,https://www.youtube.com/watch?v=vUnI0J3BYnI,fake,5 Real Aliens Caught on Camera,5 étrangers réels pris à la caméra,5 extraterrestres reales de grabado,5 реальных иностранцев поймали на камеру,5 الأجانب حقيقية اشتعلت على الكاميرا
